name,current_price,original_price,discount,url,full_url,image,brand,product_id
SIMI S240 Feature Phone 2.4inch Dual SIM Card 2500mAh,"KSh 1,250","KSh 1,709",27%,/simi-s240-feature-phone-2.4inch-dual-sim-card-2500mah-325418761.html,https://www.jumia.co.ke/simi-s240-feature-phone-2.4inch-dual-sim-card-2500mah-325418761.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/7814523/1.jpg?8933,SIMI,SI364MP58LQ4SNAFAMZ
SIMI S127 1.77inch Feature Phone Dual SIM Card 1050mAh-32+32Mbit,KSh 905,"KSh 1,289",30%,/simi-s127-1.77inch-feature-phone-dual-sim-card-1050mah-3232mbit-325418792.html,https://www.jumia.co.ke/simi-s127-1.77inch-feature-phone-dual-sim-card-1050mah-3232mbit-325418792.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/7814523/1.jpg?8021,SIMI,SI364MP5GCCZWNAFAMZ
SIMI S117 1.77inch Feature Phone Dual SIM Card 2500mAh,KSh 899,"KSh 1,285",30%,/simi-s117-1.77inch-feature-phone-dual-sim-card-2500mah-325418762.html,https://www.jumia.co.ke/simi-s117-1.77inch-feature-phone-dual-sim-card-2500mah-325418762.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/7814523/1.jpg?8937,SIMI,SI364MP5EK26KNAFAMZ
"AGM AGM NOTE N1, Android 13, 128GB + 16GB RAM(8GB Extended), 50MP AI Camera, 4900mAh - Blue","KSh 9,324","KSh 19,602",52%,/agm-agm-note-n1-android-13-128gb-16gb-ram8gb-extended-50mp-ai-camera-4900mah-blue-129715600.html,https://www.jumia.co.ke/agm-agm-note-n1-android-13-128gb-16gb-ram8gb-extended-50mp-ai-camera-4900mah-blue-129715600.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/6517921/1.jpg?3512,AGM,AG910MP1NXBF4NAFAMZ
"redbeat  E3 Smartphone 6.6inchs Dual SIM,12GB/256GB,Android14,Side Fingerprint,BLUE","KSh 12,089","KSh 16,080",25%,/e3-smartphone-6.6-dual-sim12gb-256gbandroid14side-fingerprintblue-redbeat-mpg8920966.html,https://www.jumia.co.ke/e3-smartphone-6.6-dual-sim12gb-256gbandroid14side-fingerprintblue-redbeat-mpg8920966.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/4951123/1.jpg?6937,redbeat,RE137MP5PP5QGNAFAMZ
SIMI  B201 2.4inch Feature Phone Solar Charging 4000mAh,"KSh 2,312","KSh 4,528",49%,/simi-b201-2.4inch-feature-phone-solar-charging-4000mah-325418760.html,https://www.jumia.co.ke/simi-b201-2.4inch-feature-phone-solar-charging-4000mah-325418760.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/7814523/1.jpg?8924,SIMI,SI364MP52NE30NAFAMZ
"Koruima K1703 Feature Phones 1.77"" 1800mAh Big Battery  Dual Sim Wireless FM Radio Strong Torch 4 Bands Phone","KSh 1,416","KSh 1,876",25%,/koruima-k1703-feature-phones-1.77-1800mah-big-battery-dual-sim-wireless-fm-radio-strong-torch-4-bands-phone-325338542.html,https://www.jumia.co.ke/koruima-k1703-feature-phones-1.77-1800mah-big-battery-dual-sim-wireless-fm-radio-strong-torch-4-bands-phone-325338542.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/5833523/1.jpg?4970,Koruima,KO703MP5D8Y48NAFAMZ
"Koruima  K1707  Feature Phones 1.77"" 1000mAh Big Batteries  Dual Sim Wireless FM Radio Strong Flashlight Button Phones-Black","KSh 1,394","KSh 1,876",26%,/koruima-k1707-feature-phones-1.77-1000mah-big-batteries-dual-sim-wireless-fm-radio-strong-flashlight-button-phones-black-325345384.html,https://www.jumia.co.ke/koruima-k1707-feature-phones-1.77-1000mah-big-batteries-dual-sim-wireless-fm-radio-strong-flashlight-button-phones-black-325345384.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/3543523/1.jpg?5339,Koruima,KO703MP5REFXSNAFAMZ
"Koruima K2801 Feature Phones 2.8"" Big Dispay 2500mAh Big Battery Dual Sim Wireless FM Radio  T528 Big Button Phone Black","KSh 1,755","KSh 2,144",18%,/koruima-k2801-feature-phones-2.8-big-dispay-2500mah-big-battery-dual-sim-wireless-fm-radio-t528-big-button-phone-black-325417916.html,https://www.jumia.co.ke/koruima-k2801-feature-phones-2.8-big-dispay-2500mah-big-battery-dual-sim-wireless-fm-radio-t528-big-button-phone-black-325417916.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/9714523/1.jpg?1205,Koruima,KO703MP5ZIAYKNAFAMZ
"Samsung Galaxy A20 Red, 32GB/3GB,Single Sim, Refurbished + Free 32 GB Memory Card","KSh 8,299","KSh 14,999",45%,/renewed-samsung-galaxy-a20-red-32gb3gbsingle-sim-refurbished-free-32-gb-memory-card-318207722.html,https://www.jumia.co.ke/renewed-samsung-galaxy-a20-red-32gb3gbsingle-sim-refurbished-free-32-gb-memory-card-318207722.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/7702813/1.jpg?2714,Renewed,RE346MP5C6355NAFAMZ
"Refurbished Samsung Galaxy A03 Core 32GB + 2GB RAM – Dual SIM Android 11 Go Smartphone, 6.5"" HD+ Display, 5000mAh Battery – with Charger, Case, SD Card – Affordable Budget Phone Kenya","KSh 6,999","KSh 13,998",50%,/renewed-refurbished-samsung-galaxy-a03-core-32gb-2gb-ram-dual-sim-android-11-go-smartphone-6.5-hd-display-5000mah-battery-with-charger-case-sd-card-affordable-budget-phone-kenya-316244383.html,https://www.jumia.co.ke/renewed-refurbished-samsung-galaxy-a03-core-32gb-2gb-ram-dual-sim-android-11-go-smartphone-6.5-hd-display-5000mah-battery-with-charger-case-sd-card-affordable-budget-phone-kenya-316244383.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/3442613/1.jpg?9025,Renewed,RE346MP5LFW3PNAFAMZ
Huawei Y9 Prime 2019 128G/6G 6.59’’4000mAh Refurbished,"KSh 11,600","KSh 20,242",43%,/renewed-huawei-y9-prime-2019-128g6g-6.594000mah-refurbished-305023723.html,https://www.jumia.co.ke/renewed-huawei-y9-prime-2019-128g6g-6.594000mah-refurbished-305023723.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/7320503/1.jpg?4532,Renewed,HU687MP5I3LOYNAFAMZ
"Amazfit Pop 3R, 1.43"", AMOLED, Touch Screen Smart Watch - Silver","KSh 3,551","KSh 6,000",41%,/amazfit-pop-3r-1.43-amoled-touch-screen-smart-watch-silver-325426960.html,https://www.jumia.co.ke/amazfit-pop-3r-1.43-amoled-touch-screen-smart-watch-silver-325426960.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/9624523/1.jpg?4503,Amazfit,AM122EA52R9QSNAFAMZ
Amazfit Up Open-Ear Earbuds - Black,"KSh 5,399","KSh 7,000",23%,/amazfit-up-open-ear-earbuds-black-325426702.html,https://www.jumia.co.ke/amazfit-up-open-ear-earbuds-black-325426702.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/7624523/1.jpg?4434,Amazfit,AM122EA5AZ1W4NAFAMZ
"Amazfit Bip 5 Unity, 1.91"", 300mAh, TFT Touch Screen Smart Watch - Charcoal","KSh 4,441","KSh 7,000",37%,/amazfit-bip-5-unity-1.91-300mah-tft-touch-screen-smart-watch-charcoal-325427398.html,https://www.jumia.co.ke/amazfit-bip-5-unity-1.91-300mah-tft-touch-screen-smart-watch-charcoal-325427398.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/3724523/1.jpg?7655,Amazfit,AM122EA6FTLPGNAFAMZ
"Amazfit Bip 5 Unity, 1.91"", 300mAh, TFT Touch Screen Smart Watch - Grey","KSh 4,441","KSh 7,000",37%,/amazfit-bip-5-unity-1.91-300mah-tft-touch-screen-smart-watch-grey-325426741.html,https://www.jumia.co.ke/amazfit-bip-5-unity-1.91-300mah-tft-touch-screen-smart-watch-grey-325426741.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/7624523/1.jpg?7654,Amazfit,AM122EA57EG9GNAFAMZ
Mycandy Pb-c250 Powerbank 20k Mah 22.5w Type-c Pd Black,"KSh 1,999","KSh 5,360",63%,/mycandy-pb-c250-powerbank-20k-mah-22.5w-type-c-pd-black-317452613.html,https://www.jumia.co.ke/mycandy-pb-c250-powerbank-20k-mah-22.5w-type-c-pd-black-317452613.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/6254713/1.jpg?2567,Mycandy,MY857EA5HFVUNNAFAMZ
Mycandy Pb-c150 Powerbank 10kmah 22.5w Type-c Pd Black,"KSh 1,842","KSh 4,020",54%,/mycandy-pb-c150-powerbank-10kmah-22.5w-type-c-pd-black-317440748.html,https://www.jumia.co.ke/mycandy-pb-c150-powerbank-10kmah-22.5w-type-c-pd-black-317440748.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/7044713/1.jpg?8069,Mycandy,MY857EA6D1JVBNAFAMZ
Mycandy Tc-d30 Travel Charger 30w Type-c & Usb Black,"KSh 1,196","KSh 1,742",31%,/mycandy-tc-d30-travel-charger-30w-type-c-usb-black-317438143.html,https://www.jumia.co.ke/mycandy-tc-d30-travel-charger-30w-type-c-usb-black-317438143.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/1834713/1.jpg?2868,Mycandy,MY857EA5IYPM7NAFAMZ
Utarudi GS77 Business Smart Watches With 2.01 Inch HD Display  320 MAh Battery Can Last For About A Week.,"KSh 2,245","KSh 3,472",35%,/utarudi-gs77-business-smart-watches-with-2.01-inch-hd-display-320-mah-battery-can-last-for-about-a-week.-296432468.html,https://www.jumia.co.ke/utarudi-gs77-business-smart-watches-with-2.01-inch-hd-display-320-mah-battery-can-last-for-about-a-week.-296432468.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/4234692/1.jpg?7471,Utarudi,GE840EA4QJ1RHNAFAMZ
"Itel 1.43"" True60HzSmartwatch Horizon N8 Copper Gold","KSh 4,619","KSh 7,000",34%,/itel-1.43-true60hzsmartwatch-horizon-n8-copper-gold-282244659.html,https://www.jumia.co.ke/itel-1.43-true60hzsmartwatch-horizon-n8-copper-gold-282244659.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/6442282/1.jpg?2915,Itel,IT910EA4W0OJONAFAMZ
RichRipple M10 LED Display Bluetooth Headsets 9D Stereo Wireless Earphones Earpods,KSh 379,KSh 863,56%,/richripple-m10-led-display-bluetooth-headsets-9d-stereo-wireless-earphones-earpods-179381044.html,https://www.jumia.co.ke/richripple-m10-led-display-bluetooth-headsets-9d-stereo-wireless-earphones-earpods-179381044.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/0183971/1.jpg?4067,RichRipple,RI225EA2DQTB1NAFAMZ
GUEETON Stereo F9 Bluetooth Earphone  Power Headset,KSh 428,KSh 701,39%,/gueeton-stereo-f9-bluetooth-earphone-power-headset-35221857.html,https://www.jumia.co.ke/gueeton-stereo-f9-bluetooth-earphone-power-headset-35221857.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/812253/1.jpg?0667,GUEETON,GE840EA194X3XNAFAMZ
TWS Airpods Pro3 Bluetooth Headsets Wireless Pods Pro Earpods Earphones..,KSh 304,KSh 799,62%,/airpods-pro3-bluetooth-headsets-wireless-pods-pro-earpods-earphones-tws-mpg7287930.html,https://www.jumia.co.ke/airpods-pro3-bluetooth-headsets-wireless-pods-pro-earpods-earphones-tws-mpg7287930.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/8983672/1.jpg?9156,TWS,TW310EA4UDTTRNAFAMZ
Oraimo Powerbank  20000mAh - Black,"KSh 1,650","KSh 2,500",34%,/powerbank-20000mah-black-oraimo-mpg465342.html,https://www.jumia.co.ke/powerbank-20000mah-black-oraimo-mpg465342.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/5358011/1.jpg?3470,Oraimo,OR019EA20YD89NAFAMZ
GUEETON GUEETON Wireless Earphones Bluetooth 5.3 Finger Touch Headset HIFI Slide Cover,KSh 484,"KSh 1,572",69%,/gueeton-gueeton-wireless-earphones-bluetooth-5.3-finger-touch-headset-hifi-slide-cover-56804919.html,https://www.jumia.co.ke/gueeton-gueeton-wireless-earphones-bluetooth-5.3-finger-touch-headset-hifi-slide-cover-56804919.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/940865/1.jpg?1367,GUEETON,GE840EA1IQM0XNAFAMZ
RichRipple Pro3 Bluetooth Headsets Wireless Pods Pro Earpods Earphones,KSh 382,KSh 828,54%,/richripple-pro3-bluetooth-headsets-wireless-pods-pro-earpods-earphones-179381055.html,https://www.jumia.co.ke/richripple-pro3-bluetooth-headsets-wireless-pods-pro-earpods-earphones-179381055.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/0183971/1.jpg?0700,RichRipple,GE840EA2KAKYLNAFAMZ
,"KSh 9,799",,32%,/samsung-a06-6.7-4gb-ram-64gb-dual-sim-5000mah-black-1yr-wrty-299889399.html,https://www.jumia.co.ke/samsung-a06-6.7-4gb-ram-64gb-dual-sim-5000mah-black-1yr-wrty-299889399.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/3988992/1.jpg?8885,Samsung,SA948MP4Y95O3NAFAMZ
,"KSh 15,699",,17%,/samsung-galaxy-a16-6.7-128gb-4gb-ram-dual-sim-5000mah-a-16-phone-black-2yrs-wrty-307739234.html,https://www.jumia.co.ke/samsung-galaxy-a16-6.7-128gb-4gb-ram-dual-sim-5000mah-a-16-phone-black-2yrs-wrty-307739234.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/2937703/1.jpg?2075,Samsung,SA948MP5ODZ62NAFAMZ
,"KSh 15,000",,16%,/xiaomi-redmi-15c-4g-6.9-8gb-ram-256gb-6000mah-black-25-months-warranty-325507986.html,https://www.jumia.co.ke/xiaomi-redmi-15c-4g-6.9-8gb-ram-256gb-6000mah-black-25-months-warranty-325507986.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/9705523/1.jpg?3397,XIAOMI,XI996MP63OBI0NAFAMZ
,"KSh 8,499",,24%,/xiaomi-redmi-a5-6.88-3gb-64gb-5200mah-dual-sim-4g-midnight-black-314319251.html,https://www.jumia.co.ke/xiaomi-redmi-a5-6.88-3gb-64gb-5200mah-dual-sim-4g-midnight-black-314319251.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/2913413/1.jpg?3026,XIAOMI,XI996MP57PSCTNAFAMZ
,"KSh 9,000",,33%,/kuhl-kuhl-17-pro-max-8gb-128gb-6.8-brand-new-android-smartphone-326033428.html,https://www.jumia.co.ke/kuhl-kuhl-17-pro-max-8gb-128gb-6.8-brand-new-android-smartphone-326033428.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/4330623/1.jpg?8185,Kuhl,KU056MP6BOV8MNAFAMZ
,"KSh 19,250",,13%,/itel-s26-ultra-6.78-256gb-8gb-ram-dual-sim-6000mah-blackblue-1-yr-wrty-325725329.html,https://www.jumia.co.ke/itel-s26-ultra-6.78-256gb-8gb-ram-dual-sim-6000mah-blackblue-1-yr-wrty-325725329.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/3527523/1.jpg?5302,Itel,IT910MP6HLHBKNAFAMZ
,"KSh 15,499",,23%,/itel-s25-ultra-4g-6.78-8gb-ram-128gbdual-sim-5000mah-titanium-1yr-wrty-itel-s25-ultra-1288-free-buds-ace-pro-325310159.html,https://www.jumia.co.ke/itel-s25-ultra-4g-6.78-8gb-ram-128gbdual-sim-5000mah-titanium-1yr-wrty-itel-s25-ultra-1288-free-buds-ace-pro-325310159.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/1013523/1.jpg?5828,Itel,IT910MP6J8E5KNAFAMZ
,"KSh 15,720",,48%,/xiaomi-redmi-15c-6.9up-to-16gb-extended-ram-256gb-storage-battery-6000-mah1-year-warranty-black-325383506.html,https://www.jumia.co.ke/xiaomi-redmi-15c-6.9up-to-16gb-extended-ram-256gb-storage-battery-6000-mah1-year-warranty-black-325383506.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/5383523/1.jpg?5862,XIAOMI,XI996MP5YNL68NAFAMZ
,"KSh 4,599",,16%,/villaon-v25-5-22gb-ram-64gb-3000mah-dual-sim-black-325721716.html,https://www.jumia.co.ke/villaon-v25-5-22gb-ram-64gb-3000mah-dual-sim-black-325721716.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/7127523/1.jpg?2706,VILLAON,VI724MP5ZCRCGNAFAMZ
,"KSh 18,099",,21%,/tecno-pova-6-neo-6.78fhd-256gb8gb-ram-50mp-7000mah-33w-super-charge-speed-black-1yr-wrty-259045384.html,https://www.jumia.co.ke/tecno-pova-6-neo-6.78fhd-256gb8gb-ram-50mp-7000mah-33w-super-charge-speed-black-1yr-wrty-259045384.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/3540952/1.jpg?5612,Tecno,TE685MP43V38VNAFAMZ
,"KSh 8,419",,23%,/infinix-smart-10-6.67-3gb-ram-64gb-dual-sim-sleek-black-324931395.html,https://www.jumia.co.ke/infinix-smart-10-6.67-3gb-ram-64gb-dual-sim-sleek-black-324931395.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/3139423/1.jpg?1987,Infinix,IN213MP5XXCEUNAFAMZ
,"KSh 9,000",,33%,/kuhl-s25-ultra-kuhl-8gb-128gb-6.8-brand-new-android-smartphone-dual-sim-5000mah-gold-color-1-yr-wrty-326033508.html,https://www.jumia.co.ke/kuhl-s25-ultra-kuhl-8gb-128gb-6.8-brand-new-android-smartphone-dual-sim-5000mah-gold-color-1-yr-wrty-326033508.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/5330623/1.jpg?8096,Kuhl,KU056MP6AK56UNAFAMZ
,"KSh 11,300",,13%,/infinix-hot-60i-4g6.7-inch-4gbram128gb-rom-battery-5160mah-black-325936984.html,https://www.jumia.co.ke/infinix-hot-60i-4g6.7-inch-4gbram128gb-rom-battery-5160mah-black-325936984.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/9639523/1.jpg?2502,Infinix,IN213MP5RRIB4NAFAMZ
,"KSh 11,999",,14%,/tecno-spark-40-6.67-hd-4gb-ram-128gb-dual-sim-5200-mah-4g-black-325936121.html,https://www.jumia.co.ke/tecno-spark-40-6.67-hd-4gb-ram-128gb-dual-sim-5200-mah-4g-black-325936121.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/1639523/1.jpg?4964,Tecno,TE685MP55UR8WNAFAMZ
,"KSh 7,699",,16%,/xiaomi-redmi-a3x-6.71-3gb-ram-64gb-dual-sim-5000mah-black-325617774.html,https://www.jumia.co.ke/xiaomi-redmi-a3x-6.71-3gb-ram-64gb-dual-sim-5000mah-black-325617774.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/7716523/1.jpg?3620,XIAOMI,XI996MP5R1YBONAFAMZ
,"KSh 11,230",,63%,/xiaomi-redmi-15c-6.9up-to-8gb-extended-ram44-128gb-storage-battery-6000-mah1-year-warranty-black-325383534.html,https://www.jumia.co.ke/xiaomi-redmi-15c-6.9up-to-8gb-extended-ram44-128gb-storage-battery-6000-mah1-year-warranty-black-325383534.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/5383523/1.jpg?6393,XIAOMI,XI996MP5OJ7W0NAFAMZ
,"KSh 11,349",,61%,/xiaomi-redmi-15c-6.9up-to-8gb-extended-ram-128gb-storage-battery-6000-mah1-year-warranty-blue-325401945.html,https://www.jumia.co.ke/xiaomi-redmi-15c-6.9up-to-8gb-extended-ram-128gb-storage-battery-6000-mah1-year-warranty-blue-325401945.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/9104523/1.jpg?1036,XIAOMI,XI996MP5VAYNONAFAMZ
